,Código,Cod,Nome Comercial,Div. Yeld,P/VP
0,AALR3,"""AALR3"",",ALLIAR,"0,0%","1,64"
1,ABCB3,"""ABCB3"",",ABC Brasil,"0,0%","0,00"
2,ABCB4,"""ABCB4"",",ABC Brasil,"5,6%","0,81"
3,ABEV3,"""ABEV3"",",AMBEV S/A,"4,2%","2,63"
4,ABYA3,"""ABYA3"",",ABYARA,"0,0%","1,76"
5,ACES3,"""ACES3"",",ARCELORMITTAL INOX BRASIL,"0,0%","2,28"
6,ACES4,"""ACES4"",",ARCELORMITTAL INOX BRASIL,"0,0%","2,27"
7,ADHM3,"""ADHM3"",",ADVANCED-DH,"0,0%","-1,2"
8,AEDU11,"""AEDU11"",",ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA,"0,0%","1,13"
9,AEDU3,"""AEDU3"",",ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA,"0,0%","3,32"
10,AELP3,"""AELP3"",",AES ELPA,"0,0%",-200
11,AERI3,"""AERI3"",",AERIS,"0,0%","4,94"
12,AESB3,"""AESB3"",",AES BRASIL,"1,6%","2,54"
13,AESL3,"""AESL3"",",AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.,"0,0%","2,69"
14,AESL4,"""AESL4"",",AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.,"0,0%","2,69"
15,AFLT3,"""AFLT3"",",AFLUENTE T,"7,2%","3,11"
16,AFLU3,"""AFLU3"",",AFLUENTE,"0,0%","2,19"
17,AFLU5,"""AFLU5"",",AFLUENTE,"0,0%","2,14"
18,AGEI3,"""AGEI3"",",AGRE EMP IMOB,"0,0%","1,25"
19,AGEN33,"""AGEN33"",",Agrenco,"0,0%","-0,0"
20,AGIN3,"""AGIN3"",",Agra Incorp,"0,0%","1,23"
21,AGRO3,"""AGRO3"",",BRASILAGRO,"9,1%","1,27"
22,AGXY3,"""AGXY3"",",AGROGALAXY,"0,0%","1,50"
23,AHEB3,"""AHEB3"",",PARQUE ANHEMBI,"0,0%","-4,8"
24,AHEB5,"""AHEB5"",",PARQUE ANHEMBI,"0,0%","-3,9"
25,AHEB6,"""AHEB6"",",PARQUE ANHEMBI,"0,0%","-9,1"
26,ALBA3,"""ALBA3"",",DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO,"0,0%","0,00"
27,ALLD3,"""ALLD3"",",ALLIED,"4,8%","0,96"
28,ALLL11,"""ALLL11"",",RUMO S.A.,"0,0%","0,40"
29,ALLL3,"""ALLL3"",",RUMO S.A.,"0,0%","0,48"
30,ALLL4,"""ALLL4"",",RUMO S.A.,"0,0%","0,40"
31,ALPA3,"""ALPA3"",",ALPARGATAS,"1,6%","4,34"
32,ALPA4,"""ALPA4"",",ALPARGATAS,"1,6%","4,66"
33,ALPK3,"""ALPK3"",",ESTAPAR,"0,0%","1,79"
34,ALSC3,"""ALSC3"",",ALIANSCE,"1,0%","2,20"
35,ALSO3,"""ALSO3"",",ALIANSCSONAE,"1,0%","0,88"
36,ALUP11,"""ALUP11"",",ALUPAR,"3,3%","1,11"
37,ALUP3,"""ALUP3"",",ALUPAR,"3,3%","1,11"
38,ALUP4,"""ALUP4"",",ALUPAR,"3,3%","1,12"
39,AMAR3,"""AMAR3"",",LOJAS MARISA,"0,0%","0,98"
40,AMBP3,"""AMBP3"",",AMBIPAR,"0,2%","3,90"
41,AMBV3,"""AMBV3"",",AMBEV,"0,0%","8,76"
