Código,Cod,Nome Comercial,Div. Yeld,P/VP
AALR3,"""AALR3"",",ALLIAR,,
ABCB3,"""ABCB3"",",ABC Brasil,,
ABCB4,"""ABCB4"",",ABC Brasil,,
ABEV3,"""ABEV3"",",AMBEV S/A,,
ABYA3,"""ABYA3"",",ABYARA,,
ACES3,"""ACES3"",",ARCELORMITTAL INOX BRASIL,,
ACES4,"""ACES4"",",ARCELORMITTAL INOX BRASIL,,
ADHM3,"""ADHM3"",",ADVANCED-DH,,
AEDU11,"""AEDU11"",",ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA,,
AEDU3,"""AEDU3"",",ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA,,
AELP3,"""AELP3"",",AES ELPA,,
AERI3,"""AERI3"",",AERIS,,
AESB3,"""AESB3"",",AES BRASIL,,
AESL3,"""AESL3"",",AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.,,
AESL4,"""AESL4"",",AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.,,
AFLT3,"""AFLT3"",",AFLUENTE T,,
AFLU3,"""AFLU3"",",AFLUENTE,,
AFLU5,"""AFLU5"",",AFLUENTE,,
AGEI3,"""AGEI3"",",AGRE EMP IMOB,,
AGEN33,"""AGEN33"",",Agrenco,,
AGIN3,"""AGIN3"",",Agra Incorp,,
AGRO3,"""AGRO3"",",BRASILAGRO,,
AGXY3,"""AGXY3"",",AGROGALAXY,,
AHEB3,"""AHEB3"",",PARQUE ANHEMBI,,
AHEB5,"""AHEB5"",",PARQUE ANHEMBI,,
AHEB6,"""AHEB6"",",PARQUE ANHEMBI,,
ALBA3,"""ALBA3"",",DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO,,
ALLD3,"""ALLD3"",",ALLIED,,
ALLL11,"""ALLL11"",",RUMO S.A.,,
ALLL3,"""ALLL3"",",RUMO S.A.,,
ALLL4,"""ALLL4"",",RUMO S.A.,,
ALPA3,"""ALPA3"",",ALPARGATAS,,
ALPA4,"""ALPA4"",",ALPARGATAS,,
ALPK3,"""ALPK3"",",ESTAPAR,,
ALSC3,"""ALSC3"",",ALIANSCE,,
ALSO3,"""ALSO3"",",ALIANSCSONAE,,
ALUP11,"""ALUP11"",",ALUPAR,,
ALUP3,"""ALUP3"",",ALUPAR,,
ALUP4,"""ALUP4"",",ALUPAR,,
AMAR3,"""AMAR3"",",LOJAS MARISA,,
AMBP3,"""AMBP3"",",AMBIPAR,,
AMBV3,"""AMBV3"",",AMBEV,,
AMBV4,"""AMBV4"",",AMBEV,,
AMER3,"""AMER3"",",AMERICANAS,,
AMIL3,"""AMIL3"",",AMIL,,
AMPI3,"""AMPI3"",",AMPLA INVEST,,
